Sample #	Timepoint	Tissue	Animal #	Ct_genomic	copies_genomic	TCID50 eq/1ML	log10TCID50eq/mL	Ct_subgenomic	copies_subgenomic	TCID50 eq/1ML.1	log10TCID50eq/mL.1	log10_copies_subgenomic	cage_id	cage	plaques/ml	PFU/day	total_plaques	variant
111	0	cage air	cage 1	40.0		0.0		40.0		0.0			1	cage 1	0.0	0.0	0	Alpha
112	0	cage air	cage 2	40.0		0.0		40.0		0.0			2	cage 2	0.0	0.0	0	Alpha
113	0	cage air	cage 3	40.0		0.0		40.0		0.0			3	cage 3	0.0	0.0	0	Alpha
114	0	cage air	cage 4	34.42223358154297	2.1429171562194824	2142.857142857143	3.3309932190414244	40.0		0.0			4	cage 4	0.0	0.0	0	Alpha
115	0	cage air	cage 5	35.49465560913086	0.9889169931411743	2142.857142857143	3.3309932190414244	40.0		0.0			5	cage 5	0.0	0.0	0	Delta
116	0	cage air	cage 6	40.0		0.0		40.0		0.0			6	cage 6	0.0	0.0	0	Delta
117	0	cage air	cage 7	33.071346282958984	5.676186561584473	2142.857142857143	3.3309932190414244	40.0		0.0			7	cage 7	0.0	0.0	0	Delta
118	0	cage air	cage 8	32.733367919921875	7.2426886558532715	2142.857142857143	3.3309932190414244	40.0		0.0			8	cage 8	0.0	0.0	0	Delta
119	1	cage air	cage 1	30.186193466186523	45.45555114746094	9740.475245884487	3.9885801469843614	32.175537109375	42.88908004760742	9190.517153058734	3.963339949949825	1.6323467309084003	1	cage 1	0.0	0.0	0	Alpha
120	1	cage air	cage 2	31.450498580932617	18.26628303527832	3914.2035075596405	3.5926434017799664	36.41370391845703	1.8897035121917725	2142.857142857143	3.3309932190414244	0.2763936702474409	2	cage 2	0.0	0.0	0	Alpha
121	1	cage air	cage 3	40.0		0.0		38.670997619628906	0.35826003551483154	2142.857142857143	3.3309932190414244	-0.44580163538233897	3	cage 3	0.0	0.0	0	Alpha
122	1	cage air	cage 4	37.47876739501953	0.23648549616336823	2142.857142857143	3.3309932190414244	40.0		0.0			4	cage 4	0.0	0.0	0	Alpha
123	1	cage air	cage 5	37.156864166259766	0.2982726991176605	2142.857142857143	3.3309932190414244	36.45301055908203	1.835768699645996	2142.857142857143	3.3309932190414244	0.2638179607456877	5	cage 5	5.0	25.0	6	Delta
124	1	cage air	cage 6	40.0		0.0		40.0		0.0			6	cage 6	0.833333	4.166667	1	Delta
125	1	cage air	cage 7	31.615755081176758	16.214275360107422	3474.4875771658762	3.540890763222851	40.0		0.0			7	cage 7	0.833333	4.166667	1	Delta
126	1	cage air	cage 8	30.517118453979492	35.80573654174805	7672.657830374582	3.8849458308485003	33.715057373046875	13.797322273254395	2956.569058554513	3.4707880275593364	1.1397948085179117	8	cage 8	0.833333	4.166667	1	Delta
127	2	cage air	cage 1	23.66417694091797	5012.5341796875	1074114.467075893	6.031050566065986	27.777042388916016	1095.4556884765625	234740.50467354912	5.370588033946523	3.0395948149050978	1	cage 1	16.66667	83.33333	20	Alpha
128	2	cage air	cage 2	24.50118064880371	2741.17431640625	587394.4963727678	5.768929873058189	28.816768646240234	509.26788330078125	109128.8321358817	5.037939507538331	2.706946288496906	2	cage 2	19.16667	95.83333	23	Alpha
129	2	cage air	cage 3	25.913557052612305	989.9862060546875	212139.90129743304	5.326622362451027	28.736316680908203	540.3634643554688	115792.17093331474	5.063679196391386	2.732685977349962	3	cage 3	0.0	0.0	0	Alpha
130	2	cage air	cage 4	26.216073989868164	795.9600830078125	170562.87493024554	5.231884507678436	29.129467010498047	404.4846496582031	86675.28206961496	4.937895263666513	2.606902044625088	4	cage 4	0.0	0.0	0	Alpha
131	2	cage air	cage 5	23.242273330688477	6794.8984375	1456049.6651785716	6.163176188812961	28.445293426513672	669.5693359375	143479.14341517858	5.15678877523022	2.8257955561887957	5	cage 5	37.5	187.5	45	Delta
132	2	cage air	cage 6	25.7812557220459	1089.0838623046875	233375.1133510045	5.368054541895341	31.213117599487305	87.14888763427734	18674.761635916573	4.271255067201397	1.940261848159973	6	cage 6	8.333333	41.66667	10	Delta
133	2	cage air	cage 7	26.117652893066406	854.5025634765625	183107.69217354912	5.26270658896776	31.646055221557617	63.350257873535156	13575.055258614677	4.1327416061034326	1.8017483870620077	7	cage 7	0.0	0.0	0	Delta
134	2	cage air	cage 8	26.486087799072266	655.13720703125	140386.5443638393	5.147325483943521	31.712778091430664	60.3116455078125	12923.924037388393	4.111394396711747	1.780401177670322	8	cage 8	0.0	0.0	0	Delta
135	3	cage air	cage 1	25.499143600463867	1334.7781982421875	286023.8996233259	5.456402323481746	28.905956268310547	476.88287353515625	102189.18718610491	5.00940494478262	2.6784117257411952	1	cage 1	2.5	12.5	3	Alpha
136	3	cage air	cage 2	23.87116241455078	4317.54248046875	925187.6743861608	5.966229838342278	27.225547790527344	1644.520263671875	352397.1993582589	5.547032448241466	3.216039229200041	2	cage 2	0.833333	4.166667	1	Alpha
137	3	cage air	cage 3	26.07346534729004	882.1681518554688	189036.03254045759	5.276544593813331	28.514991760253906	636.0574951171875	136298.03466796875	5.1344895936262365	2.803496374584812	3	cage 3	0.0	0.0	0	Alpha
138	3	cage air	cage 4	23.94603729248047	4090.613037109375	876559.9365234375	5.942781617191301	27.908340454101562	994.46044921875	213098.66768973216	5.328580734478133	2.9975875154367086	4	cage 4	0.0	0.0	0	Alpha
139	3	cage air	cage 5	23.891063690185547	4256.025390625	912005.4408482143	5.959997429253096	28.765153884887695	529.0050659179688	113358.22841099331	5.054453050036318	2.723459830994893	5	cage 5	5.0	25.0	6	Delta
140	3	cage air	cage 6	26.037521362304688	905.3318481445312	193999.6817452567	5.287801017474596	30.57352638244629	139.60203552246094	29914.721897670202	4.475884969776473	2.144891750735048	6	cage 6	0.0	0.0	0	Delta
141	3	cage air	cage 7	26.558639526367188	621.7439575195312	133230.84803989957	5.124604792269805	31.236974716186523	85.63060760498047	18349.415915352958	4.26362224467659	1.932629025635165	7	cage 7	0.0	0.0	0	Delta
142	3	cage air	cage 8	25.912559509277344	990.6985473632812	212292.54586356028	5.32693474523921	29.939298629760742	222.7438201904297	47730.818612234936	4.678798882841579	2.3478056638001545	8	cage 8	0.0	0.0	0	Delta
143	4	cage air	cage 1	26.502212524414062	647.5637817382812	138763.667515346	5.142275769698621	30.259140014648438	175.98516845703125	37711.1075265067	4.576469287260759	2.2454760682193347	1	cage 1	0.0	0.0	0	Alpha
144	4	cage air	cage 2	24.54234504699707	2661.003173828125	570214.9658203125	5.756038611584252	28.19448471069336	805.4506225585938	172596.56197684153	5.237032140571791	2.906038921530366	2	cage 2	0.0	0.0	0	Alpha
