species	spike	entry
Human	Alpha	32.33743
Hamster	Alpha	40.11716
Human	Alpha	29.10369
Hamster	Alpha	53.66139
Human	Alpha	27.72115
Hamster	Alpha	36.74282
Human	Alpha	29.71295
Hamster	Alpha	51.95079
Human	Alpha	25.51845
Hamster	Alpha	47.21734
Human	Alpha	44.94435
Hamster	Alpha	52.79438
Human	Alpha	19.30873
Hamster	Alpha	48.43585
Human	Alpha	10.87288
Hamster	Alpha	47.24077
Human	Delta	20.76157
Hamster	Delta	60.31634
Human	Delta	35.57118
Hamster	Delta	73.43878
Human	Delta	45.36614
Hamster	Delta	64.79203
Human	Delta	40.70299
Hamster	Delta	58.32455
Human	Delta	46.98301
Hamster	Delta	66.12771
Human	Delta	52.32572
Hamster	Delta	57.57469
Human	Delta	56.14528
Hamster	Delta	48.55302
Human	Delta	44.26479
Hamster	Delta	48.34212
Human	No spike	0.96075
Hamster	No spike	0.843585
Human	No spike	0.56239
Hamster	No spike	0.609256
Human	No spike	1.218512
Hamster	No spike	0.281195
Human	No spike	1.054482
Hamster	No spike	2.202695
Human	No spike	1.734036
Hamster	No spike	0.538957
Human	No spike	1.382542
Hamster	No spike	0.515524
Human	No spike	1.734036
Hamster	No spike	0.093732
Human	No spike	0.16403
Hamster	No spike	0.984183
