hamster_id	DPI	MVb	animal_name	sex	sacrifice_day	variant	cage_id
1277	-1	73.37989281283484	CoV1277	M	D5	Alpha	1
1278	-1	82.5965529320224	CoV1278	M	D14	Alpha	1
1279	-1	57.717790238997516	CoV1279	M	D14	Alpha	2
1280	-1	58.84608103345324	CoV1280	M	D14	Alpha	2
1281	-1	152.33785669962566	CoV1281	F	D14	Alpha	3
1283	-1	137.99288945764928	CoV1283	F	D5	Alpha	3
1284	-1	93.11242497762045	CoV1284	F	D5	Alpha	4
1285	-1	79.74491319202241	CoV1285	F	D5	Alpha	4
1287	-1	95.72167114650502	CoV1287	M	D5	Delta	5
1288	-1	85.92113186762883	CoV1288	M	D14	Delta	5
1289	-1	78.16195184267484	CoV1289	M	D14	Delta	6
1290	-1	95.09556978898082	CoV1290	M	D14	Delta	6
1291	-1	127.41239295842993	CoV1291	F	D14	Delta	7
1293	-1	80.09338454542488	CoV1293	F	D5	Delta	7
1294	-1	140.70540954044887	CoV1294	F	D5	Delta	8
1295	-1	99.77414734907977	CoV1295	F	D5	Delta	8
1277	0	113.7078719495916	CoV1277	M	D5	Alpha	1
1278	0	117.0815031380489	CoV1278	M	D14	Alpha	1
1279	0	61.60967411555297	CoV1279	M	D14	Alpha	2
1280	0	101.82898346049673	CoV1280	M	D14	Alpha	2
1281	0	82.72759102486275	CoV1281	F	D14	Alpha	3
1283	0	114.38775759683529	CoV1283	F	D5	Alpha	3
1284	0	147.1425396195994	CoV1284	F	D5	Alpha	4
1285	0	89.32679244175853	CoV1285	F	D5	Alpha	4
1287	0	88.51907755877521	CoV1287	M	D5	Delta	5
1288	0	105.07054406243401	CoV1288	M	D14	Delta	5
1289	0	74.21420518557231	CoV1289	M	D14	Delta	6
1290	0	92.42720967610677	CoV1290	M	D14	Delta	6
1291	0	108.55196707040672	CoV1291	F	D14	Delta	7
1293	0	62.182997451109046	CoV1293	F	D5	Delta	7
1294	0	114.15244717364544	CoV1294	F	D5	Delta	8
1295	0	110.98092920369115	CoV1295	F	D5	Delta	8
1277	1	90.75077023602172	CoV1277	M	D5	Alpha	1
1278	1	75.002320022583	CoV1278	M	D14	Alpha	1
1279	1	100.74449354893453	CoV1279	M	D14	Alpha	2
1280	1	96.0490163675944	CoV1280	M	D14	Alpha	2
1281	1	82.04512574072598	CoV1281	F	D14	Alpha	3
1283	1	122.4745686340332	CoV1283	F	D5	Alpha	3
1284	1	125.7335482227559	CoV1284	F	D5	Alpha	4
1285	1	130.21476511053137	CoV1285	F	D5	Alpha	4
1287	1	79.68012488515754	CoV1287	M	D5	Delta	5
1288	1	66.64103989765562	CoV1288	M	D14	Delta	5
1289	1	96.08568798656195	CoV1289	M	D14	Delta	6
1290	1	74.66912022985593	CoV1290	M	D14	Delta	6
1291	1	83.14793790976206	CoV1291	F	D14	Delta	7
1293	1	86.35793633894487	CoV1293	F	D5	Delta	7
1294	1	129.36542488356767	CoV1294	F	D5	Delta	8
1295	1	141.9426784515381	CoV1295	F	D5	Delta	8
1277	2	72.13188910484314	CoV1277	M	D5	Alpha	1
1278	2	57.21724527532404	CoV1278	M	D14	Alpha	1
1279	2	62.691081838254576	CoV1279	M	D14	Alpha	2
