Sample #	Timepoint	Tissue	Animal #	Ct_genomic	copies_genomic	TCID50 eq/1ML	log10TCID50eq/mL	Ct_subgenomic	copies_subgenomic	TCID50 eq/1ML.1	log10TCID50eq/mL.1	log10_copies_subgenomic	hamster_id	animal_name	sex	sacrifice_day	variant	cage_id	log10_tcid50	n_positive_wells	starting_row_dilution
1	1	oral swab	CoV1276	19.232318878173828	446048.71875	95581868.30357143	7.980375515262004	23.491230010986328	84580.515625	18124396.205357146	7.258263547433408	4.927270328391984	1276	CoV1276	M	D5	Alpha	1	3.25	7	-1
21	2	oral swab	CoV1276	18.77520179748535	613577.0	131480785.71428572	8.118862290711983	21.78415870666504	269319.21875	57711261.16071429	7.76126056502352	5.430267345982094	1276	CoV1276	M	D5	Alpha	1	2.5	4	-1
41	3	oral swab	CoV1276	22.935218811035156	33694.83984375	7220322.823660715	6.858556615492107	26.124576568603516	14169.0810546875	3036231.654575893	6.482334903740555	4.151341684699131	1276	CoV1276	M	D5	Alpha	1	2.75	5	-1
61	4	oral swab	CoV1276	23.31924819946289	25776.208984375	5523473.353794643	6.742212263236715	27.05545425415039	7534.49169921875	1614533.935546875	6.208047177792858	3.877053958751433	1276	CoV1276	M	D5	Alpha	1	2.5	4	-1
81	5	oral swab	CoV1276	21.18834686279297	113969.9140625	24422124.441964287	7.387783439841945	24.774803161621094	35404.5546875	7586690.290178572	6.880052355315967	4.549059136274542	1276	CoV1276	M	D5	Alpha	1	0.75	1	0
2	1	oral swab	CoV1277	18.947874069213867	543947.3125	116560138.39285715	8.066550054403821	23.10977554321289	109563.96875	23477993.30357143	7.370660974414216	5.0396677553727915	1277	CoV1277	M	D5	Alpha	1	3.5	4	-2
22	2	oral swab	CoV1277	20.366090774536133	202254.5625	43340263.39285714	7.636891546340441	23.52839469909668	82474.4765625	17673102.120535716	7.247312786947933	4.916319567906508	1277	CoV1277	M	D5	Alpha	1	2.75	5	-1
42	3	oral swab	CoV1277	22.77837562561035	37590.671875	8055143.973214286	6.906073307165382	25.88767433166504	16639.724609375	3565655.2734375	6.552139353398863	4.221146134357439	1277	CoV1277	M	D5	Alpha	1	2.5	4	-1
62	4	oral swab	CoV1277	23.92675018310547	16872.216796875	3615475.027901786	6.558165366206804	27.038814544677734	7620.03466796875	1632864.5717075893	6.21295016624366	3.881956947202235	1277	CoV1277	M	D5	Alpha	1	2.5	4	-1
82	5	oral swab	CoV1277	23.236412048339844	27309.56640625	5852049.944196429	6.767308023946157	26.983243942260742	7912.81640625	1695603.515625	6.229324308353222	3.8983310893117973	1277	CoV1277	M	D5	Alpha	1	0.5	0	0
3	1	oral swab	CoV1278	18.544368743896484	720778.0	154452428.57142857	8.18879474142917	22.29556655883789	190361.21875	40791689.73214286	7.610571695661449	5.279578476620024	1278	CoV1278	M	D14	Alpha	1	3.75	5	-2
23	2	oral swab	CoV1278	18.81938934326172	594952.3125	127489781.25	8.105475375949656	21.56535530090332	312420.0	66947142.85714286	7.82573204710076	5.494738828059336	1278	CoV1278	M	D14	Alpha	1	2.5	4	-1
43	3	oral swab	CoV1278	21.41294288635254	97442.25	20880482.142857146	7.3197405225660885	24.36298179626465	46817.08203125	10032231.863839285	7.001397560968927	4.670404341927503	1278	CoV1278	M	D14	Alpha	1	2.25	7	0
63	4	oral swab	CoV1278	23.285179138183594	26396.14453125	5656316.685267857	6.752533716703645	26.593576431274414	10307.38671875	2208725.7254464286	6.3441417895153425	4.013148570473917	1278	CoV1278	M	D14	Alpha	1	1.75	5	0
83	5	oral swab	CoV1278	21.192102432250977	113671.71875	24358225.44642857	7.386645645746712	24.42050552368164	45025.09765625	9648235.212053573	6.984447882488009	4.653454663446585	1278	CoV1278	M	D14	Alpha	1	0.75	1	0
4	1	oral swab	CoV1279	19.669485092163086	328806.0625	70458441.96428572	7.847933035470336	23.619441986083984	77533.96875	16614421.875	7.22048523391653	4.889492014875104	1279	CoV1279	M	D14	Alpha	2	3.5	4	-2
24	2	oral swab	CoV1279	18.541099548339844	722423.625	154805062.5	8.189785159059175	21.605125427246094	304102.78125	65164881.696428575	7.814013611155318	5.483020392113892	1279	CoV1279	M	D14	Alpha	2	2.75	5	-1
44	3	oral swab	CoV1279	18.7230167388916	636324.875	136355330.35714287	8.134672119904678	22.043596267700195	225851.390625	48396726.5625	7.684815988009701	5.353822768968276	1279	CoV1279	M	D14	Alpha	2	2.25	7	0
64	4	oral swab	CoV1279	24.5349063873291	11038.931640625	2365485.3515625	6.37392026299322	27.26903533935547	6518.103515625	1396736.4676339286	6.145114472364129	3.814121253322704	1279	CoV1279	M	D14	Alpha	2	1.75	5	0
84	5	oral swab	CoV1279	18.62771224975586	680067.5	145728750.0	8.163545239722158	22.090194702148438	218822.671875	46890572.54464286	7.671085535606433	5.340092316565007	1279	CoV1279	M	D14	Alpha	2	0.5	0	0
101	7	oral swab	CoV1279	17.31298065185547	488689.1875	104719111.60714287	8.020025949186778	21.287729263305664	130549.859375	27974969.86607143	7.44676962738963	5.115776408348205	1279	CoV1279	M	D14	Alpha	2	0.5	0	0
5	1	oral swab	CoV1280	20.60097885131836	171686.984375	36790068.08035714	7.565730591497777	24.70526695251465	37114.90234375	7953193.359375	6.900541541221619	4.569548322180195	1280	CoV1280	M	D14	Alpha	2	3.25	7	-1
25	2	oral swab	CoV1280	19.882404327392578	283422.59375	60733412.946428575	7.783427687217624	23.970067977905273	61119.29296875	13096991.35044643	7.117171540696321	4.786178321654896	1280	CoV1280	M	D14	Alpha	2	3.75	5	-2
45	3	oral swab	CoV1280	20.76457405090332	153170.484375	32822246.651785716	7.51616830478165	24.10359001159668	55825.859375	11962684.151785715	7.077828636301205	4.7468354172597795	1280	CoV1280	M	D14	Alpha	2	2.75	5	-1
65	4	oral swab	CoV1280	22.110809326171875	59885.8046875	12832672.433035715	7.108317108601047	25.290239334106445	24956.478515625	5347816.824776786	6.728176523243823	4.3971833042023984	1280	CoV1280	M	D14	Alpha	2	2.5	4	-1
85	5	oral swab	CoV1280	19.6325626373291	337384.96875	72296779.01785715	7.859118948941398	23.838096618652344	66844.296875	14323777.901785715	7.156057578412422	4.825064359370996	1280	CoV1280	M	D14	Alpha	2	2.25	7	0
102	7	oral swab	CoV1280	22.554248809814453	11159.5966796875	2391342.1456473214	6.378641718038025	26.671892166137695	2472.720458984375	529868.6697823661	5.724168241192206	3.393175022150782	1280	CoV1280	M	D14	Alpha	2	0.5	0	0
6	1	oral swab	CoV1281	20.975566864013672	132206.671875	28330001.11607143	7.452246591629637	25.296112060546875	24857.23828125	5326551.060267857	6.726446094520028	4.395452875478604	1281	CoV1281	F	D14	Alpha	3	1.0	2	0
26	2	oral swab	CoV1281	20.437589645385742	192414.265625	41231628.34821429	7.615230486600525	24.127138137817383	54941.03515625	11773078.962053573	7.070890056841877	4.739896837800453	1281	CoV1281	F	D14	Alpha	3	3.25	7	-1
46	3	oral swab	CoV1281	20.663772583007812	164328.765625	35213306.91964286	7.546706812048725	23.802806854248047	68464.0625	14670870.535714287	7.16645588464355	4.835462665602125	1281	CoV1281	F	D14	Alpha	3	2.0	6	0
