day,cage,plaques/ml,PFU/day
0,cage 1,0,0
0,cage 2,0,0
0,cage 3,0,0
0,cage 4,0,0
0,cage 5,0,0
0,cage 6,0,0
0,cage 7,0,0
0,cage 8,0,0
1,cage 1,0,0
1,cage 2,0,0
1,cage 3,0,0
1,cage 4,0,0
1,cage 5,5,25
1,cage 6,0.833333,4.166667
1,cage 7,0.833333,4.166667
1,cage 8,0.833333,4.166667
2,cage 1,16.66667,83.33333
2,cage 2,19.16667,95.83333
2,cage 3,0,0
2,cage 4,0,0
2,cage 5,37.5,187.5
2,cage 6,8.333333,41.66667
2,cage 7,0,0
2,cage 8,0,0
3,cage 1,2.5,12.5
3,cage 2,0.833333,4.166667
3,cage 3,0,0
3,cage 4,0,0
3,cage 5,5,25
3,cage 6,0,0
3,cage 7,0,0
3,cage 8,0,0
4,cage 1,0,0
4,cage 2,0,0
4,cage 3,0,0
4,cage 4,0,0
4,cage 5,1.666667,8.333333
4,cage 6,0.833333,4.166667
4,cage 7,0,0
4,cage 8,0,0
5,cage 1,0,0
5,cage 2,0,0
5,cage 3,0,0
5,cage 4,0,0
5,cage 5,0,0
5,cage 6,0,0
5,cage 7,0,0
5,cage 8,0,0
